Student_ID,Date,Attendance_Status,Subject
S00098,2024-10-22, late,Database Management Systems
S00092,2025-01-15, late,Software Engineering Lab
S00098,2025-01-08,Late,Operating Systems
S00143,2024-04-30, late,Computer Networks
S00101,2024-04-02,absnt,Machine Learning
S00013,2024-04-11,Late,Computer Networks
S00142,2024-06-20,Absent,Software Engineering Lab
S00071,2025-02-01,PRESENT ,Software Engineering Lab
S00111,2024-07-30,Present,Operating Systems
S00053,2024-09-13,Late,Operating Systems
S00020,2024-10-25,Late,Mathematics for Computing
S00099,2024-10-27,excused,Database Management Systems
S00053,2024-10-08,left early,Artificial Intelligence Lab
S00060,2024-12-09, late,Artificial Intelligence Lab
S00090,2024-12-12, late,Database Management Systems
S00112,2024-04-23,Present,Software Engineering Lab
S00096,2024-11-05, late,Database Management Systems
S00145,2024-08-15,excused,Computer Networks
S00005,2024-04-06,PRESENT ,Operating Systems
S00024,2024-09-22,Absent,Artificial Intelligence Lab
S00108,2024-08-17,Absent,Computer Networks
S00052,2024-05-09,Late,Database Management Systems
S00057,2024-08-18,Absent,Computer Networks
S00150,2024-08-06,Present,Computer Networks
S00021,2024-09-25,left early,Database Management Systems
S00082,2025-01-29,PRESENT ,Artificial Intelligence Lab
S00055,2024-03-18,Absent,Mathematics for Computing
S00092,2024-04-13,PRESENT ,Machine Learning
S00052,2025-01-20,excused,Operating Systems
S00076,2024-05-02, late,Artificial Intelligence Lab
S00131,2024-09-18,Late,Database Management Systems
S00044,2024-05-31,absnt,Machine Learning
S00079,2025-03-04,Late,Mathematics for Computing
S00084,2024-09-25,Late,Database Management Systems
S00074,2024-09-23,PRESENT ,Mathematics for Computing
S00142,2024-10-01,absnt,Computer Networks
S00090,2024-11-18, late,Database Management Systems
S00097,2024-06-17,left early,Software Engineering Lab
S00073,2024-04-22, late,Machine Learning
S00107,2024-06-04,left early,Software Engineering Lab
S00089,2024-08-30, late,Machine Learning
S00093,2024-06-13,absnt,Operating Systems
S00112,2024-05-10,Late,Machine Learning
S00110,2024-07-08,absnt,Software Engineering Lab
S00027,2024-03-09, late,Artificial Intelligence Lab
S00070,2025-03-06, late,Operating Systems
S00047,2025-01-01,Absent,Mathematics for Computing
S00054,2024-06-04,absnt,Machine Learning
S00008,2025-01-25,Absent,Operating Systems
S00032,2024-08-15,left early,Machine Learning
S00135,2024-07-05,Absent,Mathematics for Computing
S00021,2024-04-30,PRESENT ,Software Engineering Lab
S00071,2024-07-15,left early,Artificial Intelligence Lab
S00022,2024-03-11,Absent,Computer Networks
S00069,2024-03-29,left early,Operating Systems
S00062,2024-06-06,excused,Operating Systems
S00009,2024-09-16,PRESENT ,Database Management Systems
S00100,2024-03-11,Absent,Artificial Intelligence Lab
